User_ID,Date,Steps,Calories_Burned,Sleep_Hours,Heart_Rate
U5036,2024-01-02 12:00:00,14217,480.42,4.7,96
U5037,2024-01-02 13:00:00,11965,544.33,3.8,99
U5038,2024-01-02 14:00:00,8595,553.37,10.0,73
U5039,2024-01-02 15:00:00,11217,492.21,6.3,86
U5040,2024-01-02 16:00:00,6501,62.07,3.3,71
U5041,2024-01-02 17:00:00,11222,674.04,3.5,86
U5042,2024-01-02 18:00:00,12200,737.52,3.9,93
U5043,2024-01-02 19:00:00,3663,450.68,4.5,63
U5044,2024-01-02 20:00:00,14492,134.12,8.2,61
U5045,2024-01-02 21:00:00,11200,541.03,6.9,91
U5046,2024-01-02 22:00:00,13785,322.8,8.4,61
U5047,2024-01-02 23:00:00,10854,104.96,3.1,81
U5048,2024-01-03 00:00:00,7341,690.66,4.9,78
U5049,2024-01-03 01:00:00,4414,583.79,5.8,85
U5050,2024-01-03 02:00:00,1032,653.62,6.0,79
U5051,2024-01-03 03:00:00,7477,647.1,3.4,95
U5052,2024-01-03 04:00:00,3281,318.26,6.6,77
U5053,2024-01-03 05:00:00,9721,411.66,5.0,73
U5054,2024-01-03 06:00:00,5982,225.24,4.3,79
U5055,2024-01-03 07:00:00,5914,616.17,7.7,83
U5056,2024-01-03 08:00:00,7887,442.97,3.6,90
U5057,2024-01-03 09:00:00,13715,537.5,9.1,95
U5058,2024-01-03 10:00:00,2289,317.47,9.3,74
U5059,2024-01-03 11:00:00,6100,559.39,5.3,66
U5060,2024-01-03 12:00:00,2318,553.4,9.9,82
U5061,2024-01-03 13:00:00,2463,627.62,5.8,88
U5062,2024-01-03 14:00:00,2584,166.58,9.7,63
U5063,2024-01-03 15:00:00,1569,517.75,9.9,90
U5064,2024-01-03 16:00:00,9037,709.61,8.8,77
U5065,2024-01-03 17:00:00,9342,120.62,3.9,90
U5066,2024-01-03 18:00:00,6766,770.56,7.1,95
U5067,2024-01-03 19:00:00,8468,205.84,8.1,77
U5068,2024-01-03 20:00:00,5973,752.41,3.5,69
U5069,2024-01-03 21:00:00,1344,701.01,9.3,66
U5070,2024-01-03 22:00:00,8478,627.64,9.0,97
U5071,2024-01-03 23:00:00,2659,207.08,9.5,87
U5072,2024-01-04 00:00:00,8884,212.33,6.6,77
U5073,2024-01-04 01:00:00,1933,244.48,5.3,90
U5074,2024-01-04 02:00:00,5716,657.84,6.5,68
U5075,2024-01-04 03:00:00,5245,190.77,8.1,75
U5076,2024-01-04 04:00:00,14032,485.63,5.9,99
U5077,2024-01-04 05:00:00,13554,633.15,5.5,84
U5078,2024-01-04 06:00:00,6609,395.47,3.5,96
U5079,2024-01-04 07:00:00,7274,680.56,6.1,89
U5080,2024-01-04 08:00:00,13434,471.58,5.8,61
U5081,2024-01-04 09:00:00,7746,496.34,7.6,64
U5082,2024-01-04 10:00:00,14190,557.59,6.1,89
U5083,2024-01-04 11:00:00,10700,684.48,3.0,78
U5084,2024-01-04 12:00:00,4575,53.48,6.4,73
U5085,2024-01-04 13:00:00,3551,344.42,8.4,86
U5086,2024-01-04 14:00:00,14530,772.24,9.6,89
U5087,2024-01-04 15:00:00,9186,124.0,4.4,73
U5088,2024-01-04 16:00:00,14806,225.09,6.0,90
U5089,2024-01-04 17:00:00,6665,478.2,8.9,95
U5090,2024-01-04 18:00:00,8178,693.41,3.3,98
U5091,2024-01-04 19:00:00,9165,122.9,5.4,89
U5092,2024-01-04 20:00:00,6380,53.02,7.1,97
U5093,2024-01-04 21:00:00,2011,565.27,5.4,70
U5094,2024-01-04 22:00:00,5166,497.98,6.4,76
U5095,2024-01-04 23:00:00,8331,253.3,9.6,69
U5096,2024-01-05 00:00:00,11500,768.21,3.2,75
U5097,2024-01-05 01:00:00,13983,469.36,3.5,70
U5098,2024-01-05 02:00:00,14956,547.56,4.4,98
U5099,2024-01-05 03:00:00,6914,334.09,5.7,87
U5100,2024-01-05 04:00:00,1860,741.19,6.3,80
U5101,2024-01-05 05:00:00,10626,257.06,3.3,87
U5102,2024-01-05 06:00:00,2439,611.59,9.2,82
U5103,2024-01-05 07:00:00,4416,137.5,8.3,60
U5104,2024-01-05 08:00:00,4953,453.34,4.9,72
U5105,2024-01-05 09:00:00,14326,483.34,4.8,67
U5106,2024-01-05 10:00:00,7760,191.27,3.2,78
U5107,2024-01-05 11:00:00,14665,292.83,5.8,83
U5108,2024-01-05 12:00:00,13770,184.02,4.8,99
U5109,2024-01-05 13:00:00,10653,683.77,7.3,96
U5110,2024-01-05 14:00:00,14331,542.89,6.8,84
U5111,2024-01-05 15:00:00,7903,384.83,9.7,85
U5112,2024-01-05 16:00:00,7615,466.99,8.6,86
U5113,2024-01-05 17:00:00,1161,308.03,3.6,91
U5114,2024-01-05 18:00:00,9830,371.55,7.9,62
U5115,2024-01-05 19:00:00,2057,514.53,3.7,68
U5116,2024-01-05 20:00:00,2453,208.61,5.3,60
U5117,2024-01-05 21:00:00,5826,150.57,6.9,77
U5118,2024-01-05 22:00:00,7897,758.34,6.5,62
U5119,2024-01-05 23:00:00,14332,227.64,7.9,73
U5120,2024-01-06 00:00:00,3784,421.42,8.7,91
U5121,2024-01-06 01:00:00,7310,621.14,8.8,63
U5122,2024-01-06 02:00:00,4367,467.06,3.4,96
U5123,2024-01-06 03:00:00,5267,526.16,7.5,80
U5124,2024-01-06 04:00:00,12427,172.57,9.7,86
U5125,2024-01-06 05:00:00,7966,346.2,8.3,64
U5126,2024-01-06 06:00:00,8384,567.68,6.6,62
U5127,2024-01-06 07:00:00,5294,207.34,10.0,81
U5128,2024-01-06 08:00:00,3097,412.67,3.3,79
U5129,2024-01-06 09:00:00,10657,491.94,3.6,61
U5130,2024-01-06 10:00:00,5425,642.0,8.4,60
U5131,2024-01-06 11:00:00,8497,212.26,6.8,82
U5132,2024-01-06 12:00:00,5389,783.57,3.9,84
U5133,2024-01-06 13:00:00,3327,775.57,5.6,85
U5134,2024-01-06 14:00:00,5459,59.22,3.5,62
U5135,2024-01-06 15:00:00,5041,325.98,6.7,90
U5136,2024-01-06 16:00:00,3618,100.88,3.7,86
U5137,2024-01-06 17:00:00,13441,287.93,3.0,72
U5138,2024-01-06 18:00:00,2754,505.3,5.3,92
U5139,2024-01-06 19:00:00,8659,506.55,4.6,84
U5140,2024-01-06 20:00:00,9128,122.5,5.5,75
U5141,2024-01-06 21:00:00,8089,557.84,5.5,97
U5142,2024-01-06 22:00:00,6759,684.75,7.4,85
U5143,2024-01-06 23:00:00,1697,523.37,7.8,77
U5144,2024-01-07 00:00:00,4957,282.47,3.9,76
U5145,2024-01-07 01:00:00,14729,51.87,6.4,84
U5146,2024-01-07 02:00:00,8909,536.31,9.2,85
U5147,2024-01-07 03:00:00,13559,558.32,4.0,77
U5148,2024-01-07 04:00:00,11682,581.56,9.8,60
U5149,2024-01-07 05:00:00,9704,79.45,3.1,66
U5150,2024-01-07 06:00:00,1808,437.34,3.7,89
U5151,2024-01-07 07:00:00,7555,360.07,4.2,92
U5152,2024-01-07 08:00:00,2038,625.51,6.3,84
U5153,2024-01-07 09:00:00,9735,592.02,5.1,84
U5154,2024-01-07 10:00:00,12968,763.0,5.9,86
U5155,2024-01-07 11:00:00,14896,723.13,9.6,94
U5156,2024-01-07 12:00:00,7232,468.51,5.4,77
U5157,2024-01-07 13:00:00,6066,785.36,8.9,89
U5158,2024-01-07 14:00:00,11493,162.66,3.5,73
U5159,2024-01-07 15:00:00,5841,55.37,8.7,94
U5160,2024-01-07 16:00:00,7282,130.87,9.3,93
U5161,2024-01-07 17:00:00,9901,316.33,5.0,79
U5162,2024-01-07 18:00:00,2313,616.44,6.8,74
U5163,2024-01-07 19:00:00,5401,337.3,4.3,66
U5164,2024-01-07 20:00:00,13459,635.45,3.6,72
U5165,2024-01-07 21:00:00,7669,607.09,8.4,95
U5166,2024-01-07 22:00:00,13615,645.76,7.4,99
U5167,2024-01-07 23:00:00,13440,190.45,8.3,93
U5168,2024-01-08 00:00:00,11947,437.03,6.1,72
U5169,2024-01-08 01:00:00,8345,584.52,4.7,63
U5170,2024-01-08 02:00:00,13894,263.13,6.0,72
U5171,2024-01-08 03:00:00,7996,678.52,3.5,72
U5172,2024-01-08 04:00:00,10964,634.48,5.0,82
U5173,2024-01-08 05:00:00,10631,139.91,5.1,88
U5174,2024-01-08 06:00:00,13598,213.42,8.0,92
U5175,2024-01-08 07:00:00,7733,228.03,3.4,82
U5176,2024-01-08 08:00:00,4315,708.86,4.7,62
U5177,2024-01-08 09:00:00,9600,190.05,4.9,91
U5178,2024-01-08 10:00:00,5814,516.57,6.9,62
U5179,2024-01-08 11:00:00,5722,98.68,4.7,71
U5180,2024-01-08 12:00:00,6243,464.38,3.9,63
U5181,2024-01-08 13:00:00,5333,155.94,4.8,92
U5182,2024-01-08 14:00:00,14931,481.62,6.0,91
U5183,2024-01-08 15:00:00,3453,325.85,6.7,76
U5184,2024-01-08 16:00:00,10774,504.26,3.3,68
U5185,2024-01-08 17:00:00,10413,345.83,5.2,64
U5186,2024-01-08 18:00:00,1562,690.72,8.3,80
U5187,2024-01-08 19:00:00,12969,617.73,7.2,62
U5188,2024-01-08 20:00:00,9054,683.53,6.2,98
U5189,2024-01-08 21:00:00,5182,216.54,6.2,62
U5190,2024-01-08 22:00:00,14386,161.61,5.6,96
U5191,2024-01-08 23:00:00,10947,468.0,5.4,94
U5192,2024-01-09 00:00:00,12029,704.62,5.8,92
U5193,2024-01-09 01:00:00,9104,132.97,9.1,62
U5194,2024-01-09 02:00:00,8500,225.42,6.3,77
U5195,2024-01-09 03:00:00,9936,609.5,7.7,62
U5196,2024-01-09 04:00:00,9561,399.02,8.7,88
U5197,2024-01-09 05:00:00,6859,502.6,6.0,96
U5198,2024-01-09 06:00:00,3091,493.82,8.9,64
U5199,2024-01-09 07:00:00,2320,359.27,9.9,68
U5200,2024-01-09 08:00:00,6886,579.28,6.5,71
U5201,2024-01-09 09:00:00,9657,689.2,5.8,75
U5202,2024-01-09 10:00:00,12685,730.82,8.6,86
U5203,2024-01-09 11:00:00,14200,84.81,7.5,68
U5204,2024-01-09 12:00:00,1472,465.2,7.3,81
U5205,2024-01-09 13:00:00,10488,80.28,9.2,76
U5206,2024-01-09 14:00:00,8132,725.7,7.5,60
U5207,2024-01-09 15:00:00,13460,371.95,7.5,62
U5208,2024-01-09 16:00:00,1235,725.39,4.4,64
U5209,2024-01-09 17:00:00,6165,190.76,7.8,81
U5210,2024-01-09 18:00:00,12655,171.78,9.4,60
U5211,2024-01-09 19:00:00,8900,731.24,7.0,63
U5212,2024-01-09 20:00:00,2678,753.78,9.3,81
U5213,2024-01-09 21:00:00,5328,625.09,5.4,83
U5214,2024-01-09 22:00:00,7560,216.52,3.3,91
U5215,2024-01-09 23:00:00,7064,178.99,6.1,61
U5216,2024-01-10 00:00:00,1265,611.01,3.0,95
U5217,2024-01-10 01:00:00,7333,526.08,4.1,64
U5218,2024-01-10 02:00:00,3404,704.06,4.3,66
U5219,2024-01-10 03:00:00,9330,257.61,6.7,95
U5220,2024-01-10 04:00:00,13834,271.52,9.6,99
U5221,2024-01-10 05:00:00,14816,598.73,3.1,67
U5222,2024-01-10 06:00:00,14793,250.9,4.7,95
U5223,2024-01-10 07:00:00,10557,396.78,9.8,71
U5224,2024-01-10 08:00:00,2952,440.11,9.2,87
U5225,2024-01-10 09:00:00,9264,551.89,8.8,61
U5226,2024-01-10 10:00:00,1162,308.29,3.6,73
U5227,2024-01-10 11:00:00,8973,693.75,7.5,78
U5228,2024-01-10 12:00:00,1222,351.75,4.4,80
U5229,2024-01-10 13:00:00,7093,81.03,7.6,89
U5230,2024-01-10 14:00:00,1184,100.25,6.0,96
U5231,2024-01-10 15:00:00,1094,778.68,7.4,80
U5232,2024-01-10 16:00:00,4872,516.53,6.0,87
U5233,2024-01-10 17:00:00,1683,418.2,9.4,92
U5234,2024-01-10 18:00:00,12572,702.26,3.2,66
U5235,2024-01-10 19:00:00,1975,587.66,4.3,75
U5236,2024-01-10 20:00:00,12411,186.04,8.8,96
U5237,2024-01-10 21:00:00,8346,55.47,8.2,84
U5238,2024-01-10 22:00:00,9049,786.6,4.3,97
U5239,2024-01-10 23:00:00,14602,521.91,3.9,97
U5240,2024-01-11 00:00:00,12885,407.81,5.2,89
U5241,2024-01-11 01:00:00,11736,758.49,6.4,76
U5242,2024-01-11 02:00:00,8468,326.91,3.3,75
U5243,2024-01-11 03:00:00,12424,591.91,8.9,63
U5244,2024-01-11 04:00:00,1060,552.59,6.6,89
U5245,2024-01-11 05:00:00,7215,557.77,9.4,79
U5246,2024-01-11 06:00:00,2460,557.85,5.3,94
U5247,2024-01-11 07:00:00,9673,57.82,3.3,64
U5248,2024-01-11 08:00:00,13402,668.23,9.1,73
U5249,2024-01-11 09:00:00,5078,742.22,4.0,99
U5250,2024-01-11 10:00:00,6325,387.01,5.3,87
U5251,2024-01-11 11:00:00,14198,470.36,6.3,69
U5252,2024-01-11 12:00:00,13841,293.54,6.4,89
U5253,2024-01-11 13:00:00,7001,638.8,3.2,91
U5254,2024-01-11 14:00:00,6651,602.45,6.7,71
U5255,2024-01-11 15:00:00,4651,603.88,3.5,75
U5256,2024-01-11 16:00:00,8745,601.19,5.3,85
U5257,2024-01-11 17:00:00,9008,213.91,9.8,94
U5258,2024-01-11 18:00:00,10366,134.39,5.0,75
U5259,2024-01-11 19:00:00,11787,283.07,8.7,76
U5260,2024-01-11 20:00:00,13427,481.53,6.6,82
U5261,2024-01-11 21:00:00,7550,349.64,4.4,81
U5262,2024-01-11 22:00:00,4806,236.93,8.1,80
U5263,2024-01-11 23:00:00,9681,66.72,6.9,93
U5264,2024-01-12 00:00:00,11122,140.85,6.7,64
U5265,2024-01-12 01:00:00,1896,129.0,3.2,97
U5266,2024-01-12 02:00:00,5300,767.48,5.3,90
U5267,2024-01-12 03:00:00,11534,634.12,8.1,92
U5268,2024-01-12 04:00:00,12100,142.06,8.6,62
U5269,2024-01-12 05:00:00,3718,400.41,8.7,78
U5270,2024-01-12 06:00:00,6000,540.86,3.3,77
U5271,2024-01-12 07:00:00,12447,770.78,4.1,87
U5272,2024-01-12 08:00:00,9209,251.72,9.9,74
U5273,2024-01-12 09:00:00,8550,248.04,4.1,92
U5274,2024-01-12 10:00:00,13098,476.19,4.5,87
U5275,2024-01-12 11:00:00,7879,693.03,8.6,67
U5276,2024-01-12 12:00:00,13908,259.72,5.8,99
U5277,2024-01-12 13:00:00,5738,144.37,3.8,89
U5278,2024-01-12 14:00:00,5076,249.6,3.9,60
U5279,2024-01-12 15:00:00,9733,386.8,3.6,66
U5280,2024-01-12 16:00:00,8675,319.96,4.3,73
U5281,2024-01-12 17:00:00,1197,695.91,6.5,80
U5282,2024-01-12 18:00:00,2265,757.21,3.1,65
U5283,2024-01-12 19:00:00,6121,333.84,3.8,76
U5284,2024-01-12 20:00:00,14075,667.57,9.3,73
U5285,2024-01-12 21:00:00,1976,101.46,9.1,66
U5286,2024-01-12 22:00:00,1608,465.28,8.8,74
U5287,2024-01-12 23:00:00,1464,673.78,7.9,67
U5288,2024-01-13 00:00:00,10219,363.97,7.6,69
U5289,2024-01-13 01:00:00,2261,157.58,4.9,88
U5290,2024-01-13 02:00:00,11791,263.07,5.3,78
U5291,2024-01-13 03:00:00,12148,418.93,4.7,61
U5292,2024-01-13 04:00:00,8557,682.62,9.9,67
U5293,2024-01-13 05:00:00,3029,611.45,7.4,89
U5294,2024-01-13 06:00:00,12592,112.68,9.8,95
U5295,2024-01-13 07:00:00,2817,459.62,4.9,77
U5296,2024-01-13 08:00:00,1240,704.26,7.3,61
U5297,2024-01-13 09:00:00,6734,482.83,8.3,64
U5298,2024-01-13 10:00:00,3856,98.7,3.7,72
U5299,2024-01-13 11:00:00,6614,667.34,7.7,99
U5300,2024-01-13 12:00:00,13073,730.08,4.2,70
U5301,2024-01-13 13:00:00,14295,341.89,5.3,67
U5302,2024-01-13 14:00:00,8228,282.6,8.0,97
U5303,2024-01-13 15:00:00,2761,457.51,6.1,76
U5304,2024-01-13 16:00:00,7910,788.07,9.4,70
U5305,2024-01-13 17:00:00,6571,678.1,4.7,85
U5306,2024-01-13 18:00:00,8444,658.29,4.1,98
U5307,2024-01-13 19:00:00,10374,194.86,5.4,93
U5308,2024-01-13 20:00:00,8406,721.37,9.0,62
U5309,2024-01-13 21:00:00,11282,466.96,8.9,84
U5310,2024-01-13 22:00:00,2940,737.66,5.6,83
U5311,2024-01-13 23:00:00,3922,538.78,8.7,82
U5312,2024-01-14 00:00:00,1412,675.63,3.5,89
U5313,2024-01-14 01:00:00,8606,174.14,3.1,99
U5314,2024-01-14 02:00:00,14625,579.89,9.1,86
U5315,2024-01-14 03:00:00,4223,242.94,9.1,69
U5316,2024-01-14 04:00:00,2103,176.68,4.0,68
U5317,2024-01-14 05:00:00,12400,480.49,5.1,61
U5318,2024-01-14 06:00:00,6569,502.06,9.0,80
U5319,2024-01-14 07:00:00,10601,417.96,3.6,70
U5320,2024-01-14 08:00:00,6796,116.78,9.0,69
U5321,2024-01-14 09:00:00,7526,233.56,7.0,84
U5322,2024-01-14 10:00:00,9356,226.59,7.6,99
U5323,2024-01-14 11:00:00,5804,285.28,7.2,64
U5324,2024-01-14 12:00:00,14061,521.05,7.1,81
U5325,2024-01-14 13:00:00,2071,378.49,4.3,64
U5326,2024-01-14 14:00:00,10342,776.29,4.7,68
U5327,2024-01-14 15:00:00,9559,61.88,7.1,70
U5328,2024-01-14 16:00:00,7791,211.93,5.8,64
U5329,2024-01-14 17:00:00,8199,480.06,6.8,65
U5330,2024-01-14 18:00:00,3554,709.5,4.8,92
U5331,2024-01-14 19:00:00,1612,75.43,6.2,75
U5332,2024-01-14 20:00:00,9268,712.71,4.0,83
U5333,2024-01-14 21:00:00,11946,430.46,3.3,73
U5334,2024-01-14 22:00:00,12464,639.11,9.7,83
U5335,2024-01-14 23:00:00,13355,761.49,8.1,71
U5336,2024-01-15 00:00:00,2051,211.55,6.5,82
U5337,2024-01-15 01:00:00,3983,490.93,6.9,98
U5338,2024-01-15 02:00:00,7543,712.75,6.6,65
U5339,2024-01-15 03:00:00,11296,683.31,9.3,80
U5340,2024-01-15 04:00:00,2226,440.72,8.4,68
U5341,2024-01-15 05:00:00,5662,762.12,5.3,95
U5342,2024-01-15 06:00:00,4154,581.33,4.5,99
U5343,2024-01-15 07:00:00,2274,443.09,3.5,64
U5344,2024-01-15 08:00:00,3389,93.43,4.0,90
U5345,2024-01-15 09:00:00,13726,415.48,6.4,94
U5346,2024-01-15 10:00:00,7557,366.43,4.4,62
U5347,2024-01-15 11:00:00,1871,278.94,5.2,78
U5348,2024-01-15 12:00:00,2961,757.17,3.9,78
U5349,2024-01-15 13:00:00,11372,744.28,9.5,60
U5350,2024-01-15 14:00:00,13132,302.96,3.2,81
U5351,2024-01-15 15:00:00,11668,376.82,5.5,78
U5352,2024-01-15 16:00:00,10759,613.86,4.8,85
U5353,2024-01-15 17:00:00,14921,676.29,3.1,74
U5354,2024-01-15 18:00:00,11507,132.56,9.5,78
U5355,2024-01-15 19:00:00,3154,418.1,5.2,84
U5356,2024-01-15 20:00:00,5161,735.88,6.5,98
U5357,2024-01-15 21:00:00,2075,548.44,7.1,90
U5358,2024-01-15 22:00:00,8330,457.22,7.3,89
U5359,2024-01-15 23:00:00,6360,588.53,6.2,92
U5360,2024-01-16 00:00:00,3035,546.07,7.2,75
U5361,2024-01-16 01:00:00,1389,756.69,8.3,99
U5362,2024-01-16 02:00:00,6141,734.48,9.7,71
U5363,2024-01-16 03:00:00,14016,348.33,7.6,87
U5364,2024-01-16 04:00:00,11926,74.01,6.2,89
U5365,2024-01-16 05:00:00,12148,299.51,6.1,65
U5366,2024-01-16 06:00:00,4862,202.17,8.0,73
U5367,2024-01-16 07:00:00,12756,148.66,7.4,64
U5368,2024-01-16 08:00:00,6803,715.96,5.9,95
U5369,2024-01-16 09:00:00,5077,582.45,5.4,82
U5370,2024-01-16 10:00:00,11760,74.43,10.0,91
U5371,2024-01-16 11:00:00,9553,739.82,8.4,90
U5372,2024-01-16 12:00:00,9250,727.26,4.4,73
U5373,2024-01-16 13:00:00,5580,762.04,5.0,91
U5374,2024-01-16 14:00:00,10316,672.41,9.3,86
U5375,2024-01-16 15:00:00,10972,109.16,7.6,60
U5376,2024-01-16 16:00:00,7941,517.1,5.2,68
U5377,2024-01-16 17:00:00,9531,112.32,5.5,75
U5378,2024-01-16 18:00:00,5581,585.05,5.7,94
U5379,2024-01-16 19:00:00,3736,197.76,4.3,69
U5380,2024-01-16 20:00:00,2039,751.86,6.6,75
U5381,2024-01-16 21:00:00,8665,750.63,8.4,89
U5382,2024-01-16 22:00:00,9312,495.95,6.9,92
U5383,2024-01-16 23:00:00,4813,614.51,7.6,74
U5384,2024-01-17 00:00:00,7473,693.62,7.2,98
U5385,2024-01-17 01:00:00,7227,341.86,3.4,67
U5386,2024-01-17 02:00:00,9936,484.39,4.3,63
U5387,2024-01-17 03:00:00,5481,182.02,5.5,61
U5388,2024-01-17 04:00:00,5543,789.12,9.2,66
U5389,2024-01-17 05:00:00,12143,747.05,5.4,97
U5390,2024-01-17 06:00:00,7216,412.57,5.3,93
U5391,2024-01-17 07:00:00,8003,465.0,3.6,84
U5392,2024-01-17 08:00:00,8060,377.52,9.8,66
U5393,2024-01-17 09:00:00,13146,51.25,8.4,84
U5394,2024-01-17 10:00:00,10214,222.5,8.4,61
U5395,2024-01-17 11:00:00,5960,126.24,5.7,85
U5396,2024-01-17 12:00:00,8867,292.17,3.5,95
U5397,2024-01-17 13:00:00,12553,227.18,4.8,97
U5398,2024-01-17 14:00:00,8043,621.23,9.0,62
U5399,2024-01-17 15:00:00,2775,428.6,4.3,88
U5400,2024-01-17 16:00:00,2908,662.75,9.3,70
U5401,2024-01-17 17:00:00,12224,526.77,6.8,80
U5402,2024-01-17 18:00:00,11847,542.17,8.0,63
U5403,2024-01-17 19:00:00,1587,707.18,6.2,64
U5404,2024-01-17 20:00:00,7145,685.39,9.5,65
U5405,2024-01-17 21:00:00,11222,97.47,4.7,81
U5406,2024-01-17 22:00:00,1382,483.76,7.0,98
U5407,2024-01-17 23:00:00,9881,359.82,3.5,65
U5408,2024-01-18 00:00:00,6231,499.73,6.4,73
U5409,2024-01-18 01:00:00,7004,696.98,9.8,81
U5410,2024-01-18 02:00:00,9395,59.04,3.6,75
U5411,2024-01-18 03:00:00,13273,58.23,6.5,91
U5412,2024-01-18 04:00:00,5121,96.92,7.2,95
U5413,2024-01-18 05:00:00,2876,706.16,9.5,66
U5414,2024-01-18 06:00:00,7251,315.11,5.1,82
U5415,2024-01-18 07:00:00,2700,328.42,6.5,73
U5416,2024-01-18 08:00:00,2590,309.05,9.9,65
U5417,2024-01-18 09:00:00,1867,223.22,8.4,84
U5418,2024-01-18 10:00:00,13561,79.15,8.7,62
U5419,2024-01-18 11:00:00,6661,729.89,8.5,72
U5420,2024-01-18 12:00:00,3064,224.66,6.6,62
U5421,2024-01-18 13:00:00,10679,720.46,6.0,90
U5422,2024-01-18 14:00:00,3345,766.78,4.8,62
U5423,2024-01-18 15:00:00,3640,482.49,6.3,76
U5424,2024-01-18 16:00:00,8019,329.21,3.1,98
U5425,2024-01-18 17:00:00,2050,624.35,3.7,61
U5426,2024-01-18 18:00:00,11235,69.04,5.0,64
U5427,2024-01-18 19:00:00,13470,746.65,5.3,68
U5428,2024-01-18 20:00:00,4587,355.94,8.0,88
U5429,2024-01-18 21:00:00,7818,281.45,4.2,94
U5430,2024-01-18 22:00:00,7592,145.2,8.6,99
U5431,2024-01-18 23:00:00,12595,766.38,8.6,95
U5432,2024-01-19 00:00:00,10799,658.27,7.1,94
U5433,2024-01-19 01:00:00,14767,592.96,6.4,89
U5434,2024-01-19 02:00:00,7731,748.22,6.3,74
U5435,2024-01-19 03:00:00,13707,769.87,5.9,88
U5436,2024-01-19 04:00:00,7383,251.34,3.6,84
U5437,2024-01-19 05:00:00,5899,639.89,7.6,70
U5438,2024-01-19 06:00:00,5534,625.24,7.0,96
U5439,2024-01-19 07:00:00,10212,467.99,3.1,63
U5440,2024-01-19 08:00:00,1522,162.82,4.4,71
U5441,2024-01-19 09:00:00,9762,755.26,6.1,91
U5442,2024-01-19 10:00:00,14570,286.54,9.3,64
U5443,2024-01-19 11:00:00,14001,484.16,9.9,96
U5444,2024-01-19 12:00:00,4339,64.54,8.3,96
U5445,2024-01-19 13:00:00,5208,371.86,8.2,84
U5446,2024-01-19 14:00:00,14896,512.67,5.9,63
U5447,2024-01-19 15:00:00,3452,335.72,7.0,83
U5448,2024-01-19 16:00:00,4473,407.83,4.6,95
U5449,2024-01-19 17:00:00,6125,194.02,8.2,61
U5450,2024-01-19 18:00:00,8768,312.67,3.4,94
U5451,2024-01-19 19:00:00,4185,592.52,5.9,95
U5452,2024-01-19 20:00:00,10038,777.28,8.8,67
U5453,2024-01-19 21:00:00,12584,401.59,9.9,68
U5454,2024-01-19 22:00:00,2334,564.53,7.9,87
U5455,2024-01-19 23:00:00,12089,782.14,4.4,99
U5456,2024-01-20 00:00:00,7195,631.09,7.0,69
U5457,2024-01-20 01:00:00,11103,57.6,6.9,64
U5458,2024-01-20 02:00:00,1299,751.66,9.8,96
U5459,2024-01-20 03:00:00,5958,699.92,8.9,90
U5460,2024-01-20 04:00:00,2085,253.33,3.3,88
U5461,2024-01-20 05:00:00,1083,186.16,4.5,62
U5462,2024-01-20 06:00:00,8915,724.42,8.9,85
U5463,2024-01-20 07:00:00,5056,566.52,9.8,90
