site area,structure type,water consumption,recycling rate,utilisation rate,air qality index,issue reolution time,resident count,electricity cost
4443,2,2.48735578671558,90,53,36,35,201,0.18894845720680628
3573,1,0.17771154233379066,39,61,106,5,0,0.9215974438182656
1521,3,-0.8497068462514767,10,83,29,6,129,-0.37295989010802433
3961,2,0.49032032535856257,45,85,154,23,192,0.37775688902159665
3113,0,-0.08335773409059516,30,100,119,59,0,0.5945703992395377
4343,3,1.2335489111940374,41,72,12,51,277,1.5467430649466622
2000,2,-0.6652243132800012,72,82,198,62,93,-0.7126343894494653
661,0,-1.2013315174503727,22,30,81,32,0,-1.7641799140064796
4797,0,0.40747177269252133,46,90,37,1,0,1.5051871421548904
2481,3,-1.2013315174503727,53,63,179,49,31,-0.6069378032182191
1495,0,-0.160907832807064,30,90,72,28,0,-0.39554463075572655
3842,0,2.092380128656546,27,90,86,71,0,1.1555753569284604
4298,0,2.162705062896326,55,37,94,37,0,0.792412727313409
1775,3,-0.6729311553884701,56,83,65,29,160,-0.17782773091187737
1516,1,-0.5650353658699048,35,82,167,19,0,-0.37295989010802433
837,0,-1.150273688481766,14,49,165,19,0,-1.0821207464458733
1378,2,-0.9436339844484422,14,75,40,51,57,-0.9782309394664432
1576,0,-1.2013315174503727,40,60,132,15,0,-0.9312546789192226
4493,3,0.2090205883994458,37,55,191,24,310,1.89274129166946
879,0,-1.2013315174503727,86,92,55,61,0,-1.111029214474932
992,0,-0.9889116818356972,84,49,48,53,0,-1.3928867777582554
2562,0,0.7027401609732381,74,51,186,72,0,-0.23925822547362735
4384,0,0.9170867071150309,22,86,95,59,0,1.1890007730870595
564,0,-1.2013315174503727,27,86,166,7,0,-1.2835766330233769
3068,3,-0.9961368463123869,33,55,54,68,35,-0.14891926288281856
2527,0,-0.48363184609920146,38,46,191,34,0,-0.48317342446881106
3195,3,1.032207661110286,37,56,2,7,118,0.10945017012689456
1995,3,-0.7938322409650769,54,96,135,54,120,-0.09652266458014946
891,1,-0.7856437212248286,20,85,72,67,0,-0.40909547514434785
4974,0,0.14110404231856313,60,53,15,12,0,1.1275702785253097
4061,0,-0.5578102013932151,68,54,25,58,0,0.7887991688097766
2778,0,-0.45376783292888423,22,39,159,52,0,-0.0640006380474583
3599,1,0.5587185490712245,56,65,81,56,0,1.0959516416185264
700,0,-0.8699373067862077,52,74,7,3,0,-1.4678681167086267
3604,2,0.9647727926611825,33,46,102,13,116,-0.21757687445183324
2954,3,-0.7499995764731596,57,87,116,63,293,1.0029025101499935
4145,1,1.5013616744633336,72,52,59,5,0,1.2441075402674528
1304,2,-0.7326591817291045,26,37,11,25,64,-1.2564749442461343
3231,2,-0.9258119120726077,78,79,186,72,241,-0.49762765848334045
3273,3,0.10449654230333559,63,45,186,52,82,0.022724766039718132
2070,3,-0.831403096243863,23,72,161,5,206,0.33981452473345697
3190,3,0.6613158846402175,24,75,120,59,11,-0.1823446790414178
4340,3,1.917531148320657,82,78,157,25,115,1.0056126790277178
1528,2,-0.1705413854426502,87,44,43,14,37,-1.2049817355693733
1002,3,-1.2013315174503727,19,78,165,52,86,-1.3712054267364615
4993,3,0.9040814110569896,31,50,152,25,472,2.5946750310000444
1370,3,-1.142566846373297,22,35,151,72,62,-1.4037274532691526
4988,3,0.6011061806678039,90,84,96,56,151,1.5819752603570778
706,3,-0.9999902673666213,74,44,188,37,52,-1.6069901190984723
1984,2,-1.2013315174503727,23,40,136,70,183,-0.7713547151334911
1363,0,-0.5187943132190911,53,68,83,6,0,-1.150778358014888
3290,3,0.38146118057643863,48,80,47,25,240,1.0272940300495117
1063,0,-0.9253302344408284,44,66,51,20,0,-1.3630749201032886
4691,0,0.34292697003409384,74,78,197,23,0,1.318185489591916
2257,3,0.5938810161911141,36,86,191,57,134,0.20701624972496804
2178,0,0.12617203573340452,54,94,35,53,0,-0.10013622308378181
3742,2,1.6044406876641057,66,46,104,59,343,0.24315183476129157
1559,2,-0.6122397737842771,31,92,147,61,76,-0.5211157887569507
2222,2,0.14688417389991484,43,43,103,55,211,-1.027917368891388
3814,3,0.6516823320046313,18,67,177,20,207,1.0254872507976955
3657,1,-0.7254340172524149,59,54,11,3,0,0.647870387168115
3125,2,0.34437200292943176,63,66,134,65,44,-0.4958208792315243
3229,1,1.152145391423334,67,85,167,37,0,1.1492516295471036
2097,3,0.374236016099749,71,36,41,35,185,0.05886035107604164
3560,1,0.6179648977800797,47,40,92,16,0,0.48977720263419955
3193,2,-0.3559872736776844,36,64,85,4,285,-0.3015921096612854
4127,2,1.337109602026589,73,65,66,3,122,0.22327726299131362
1863,3,-0.01977628669572629,12,99,177,17,65,-0.41270903364798023
2481,2,-0.6411404316910357,20,81,168,44,117,-0.359409045719403
2163,1,-0.6281351356329944,33,98,151,63,0,0.6939432580894274
2029,0,-0.682083030392277,38,71,196,42,0,-0.4217429299070611
2538,0,-0.6984600698727735,78,100,12,17,0,-0.024251494507502438
3802,1,-1.2013315174503727,17,44,117,24,0,0.8619737285083318
2737,0,-0.25772503679470526,28,50,161,37,0,-0.2853310963949398
1806,0,-0.45810293161489807,77,30,102,2,0,-1.026110589639572
4529,0,-0.47303493820005665,78,97,130,14,0,1.2124889033606698
3175,1,-0.22208089204303633,57,40,95,10,0,0.4482212798424275
1782,3,-0.27169368811630523,49,39,200,15,12,-1.2573783338720423
1209,0,-0.4200503987043326,76,74,130,37,0,-1.0739902398127006
4913,0,3.3601556554996894,25,85,151,58,0,1.8358277452372505
4248,2,0.26393183842228707,73,48,34,46,333,0.2332145488763026
1163,0,-0.36947424736750506,17,71,19,53,0,-1.2239529177134432
2498,1,-0.9860216160450214,14,70,104,56,0,0.7111076609816811
3945,1,1.2846067401626442,81,49,171,13,0,1.3958769974200116
4243,3,1.4922097994595267,34,56,75,35,404,1.7653633544164196
1995,0,-0.899801319956525,62,41,47,36,0,-0.9321580685451307
3804,3,0.800520720224438,58,93,42,34,71,0.28290097830124744
4263,3,-0.4961554645254635,81,67,80,24,370,1.872866719899482
2353,0,0.21287400945368026,30,95,67,53,0,0.29012809530851214
1791,1,-0.5611819448156703,60,87,199,27,0,0.14106880703367763
4081,2,1.5037700626222301,55,40,198,12,70,0.22147048373949746
3957,3,-0.2846989841743466,18,59,182,15,195,0.8944957550410229
2136,3,-1.2013315174503727,73,93,153,3,130,0.05795696145013356
4196,0,2.2869778918953876,86,77,158,28,0,1.25494821577835
3499,0,1.07122354928441,32,69,181,9,0,0.6027009058727105
3652,3,1.6786190429581194,69,97,183,39,38,0.679489024074898
1198,2,-1.0573099055483592,68,50,55,30,47,-1.5229748838890202
2660,1,-0.8410366488794492,17,34,126,57,0,0.30638910857485774
4597,0,1.2971303585889062,73,65,52,23,0,1.1519617984248278
1354,2,-1.1541271095360004,63,36,199,30,93,-1.387466440002807
3974,3,0.07415085150123908,24,89,188,64,260,1.4256888550749784
2207,2,0.3910947332120248,61,85,33,16,97,-0.8996360420124395
3277,0,-0.25724335916292596,60,60,45,36,0,0.28019080942352315
2233,3,-1.0645350700250489,13,54,83,30,96,-0.821944534184344
4010,1,0.34340864766587315,43,85,73,46,0,2.1420768284200924
702,0,-1.2013315174503727,33,63,49,20,0,-1.5410426764071818
3755,2,1.0736319374433065,30,73,196,56,287,0.19888574309179527
4718,3,1.3616751612473337,11,36,10,37,306,1.5657142470907321
4996,3,1.5952888126602989,16,80,114,62,221,1.8954514605471842
1266,3,-0.7740834580621252,65,54,85,65,119,-0.7225716753344543
4889,0,2.76672881314758,84,57,74,29,0,1.318185489591916
2827,0,0.747536180728714,85,71,145,43,0,-0.3015921096612854
3431,3,0.8496518386659275,77,56,158,36,328,1.078787238726273
697,0,-1.2013315174503727,44,66,61,17,0,-1.550979962292171
2430,0,-0.18788178018670534,35,84,22,54,0,-0.0016667538598002414
4082,2,1.1502186808962167,27,67,103,17,134,0.23682810737993495
1108,0,-0.8444083923019043,73,85,180,32,0,-0.8074903001698146
3772,1,2.008086543095167,65,63,61,16,0,1.0634296150858353
1647,0,-0.6050146093075874,89,58,73,51,0,-1.0134631348768586
4782,0,-0.48363184609920146,64,77,16,59,0,1.245010929893361
3897,3,1.9107876614757466,21,75,125,23,377,2.2685513760472245
3011,3,-0.16909635254731226,46,66,40,16,187,0.8764279625228611
2294,3,0.38194285820821794,61,32,108,32,114,-0.7216682857085462
1159,0,-1.2013315174503727,28,79,7,66,0,-0.7776784425148477
3311,3,0.040433417276687415,24,50,158,70,251,0.8710076247674126
1869,3,-0.9185867475959181,61,77,48,62,117,-0.24467856322907586
2486,2,-0.9181050699641388,86,87,111,30,110,-0.7957462350330095
646,3,-1.2013315174503727,35,60,184,36,55,-1.0748936294386087
3719,3,2.046620753637512,54,36,175,6,264,0.6234788672685966
3411,3,-0.7398843462057941,30,86,180,45,294,1.0679465632153757
2234,2,-1.2013315174503727,90,65,189,33,76,-0.9068631590197043
2343,3,-0.6772662540744839,62,53,105,5,112,-0.5328598538937559
988,0,-1.2013315174503727,38,53,177,56,0,-1.263702061253399
3476,0,1.674765621903885,57,85,54,28,0,0.6171551398872399
2459,0,-0.6483655961677254,28,90,136,7,0,-0.11459045709831123
2885,0,-1.2013315174503727,63,99,31,59,0,0.23050437999857834
3419,2,1.402617759948575,87,57,86,19,230,-0.26093957649542143
2302,3,0.2398479568333216,11,61,95,62,89,-0.21848026407774132
4561,3,-0.18402835913247087,41,74,56,43,159,1.2513346572747175
3869,3,1.525445556052299,71,98,99,50,350,1.8855141746621953
762,3,-1.2013315174503727,16,97,4,53,18,-0.8896987561274506
1123,3,-0.4855585566263187,77,47,118,38,96,-1.0243038103877558
1516,3,-0.6681143790706771,31,31,111,17,137,-0.6042276343404949
4143,0,1.909824306212188,38,32,192,27,0,0.7219483364925782
2549,0,-0.9749430305140973,12,58,177,37,0,-0.38199378636710524
4223,3,0.2986126279103974,31,77,94,7,210,1.215199072238394
3608,2,-0.07276082619145034,62,94,62,38,301,0.5701788793400193
4590,3,1.2460725296202995,66,71,185,29,248,1.3760024256500336
2556,3,0.2697119700036388,19,35,184,51,237,0.4409941628351628
3670,0,0.4951371016763557,49,88,114,15,0,0.823127974594284
2182,3,-1.2013315174503727,29,48,136,16,14,-0.8987326523865314
2755,3,0.12376364757450797,20,81,98,11,227,0.43557382507971426
1654,0,-0.9050997739060974,17,90,25,33,0,-0.49401409997970813
4999,1,2.7281946026052353,45,31,190,20,0,2.017409060044776
3691,2,0.9113065755336792,34,52,193,29,13,-0.34224464282714934
2196,3,0.013459469897046075,48,48,33,16,33,-0.8056835209179984
4491,2,1.8736984838287398,71,99,80,17,434,0.6514839456717473
2148,2,-0.036153326176222814,30,79,5,57,116,-0.7108276101976492
1945,0,-0.2606151025853811,28,90,61,37,0,-0.3259836295608038
4699,2,0.09727137782664595,34,48,94,18,279,0.40034162966929887
4423,0,2.578874536753649,14,51,74,71,0,1.3254126065991807
753,3,-0.8275496751896285,21,32,168,49,21,-1.8021222782946194
3683,0,1.4387435823320232,34,34,53,11,0,0.4680958516124054
3057,0,1.4454870691769335,14,96,163,57,0,0.6858127514562546
598,0,-1.0669434581839454,85,89,90,19,0,-1.4371528694277518
2700,0,0.2851256542205767,36,68,83,70,0,-0.14982265250872664
3461,1,1.6819907863805745,13,57,112,53,0,1.305538034829203
4933,1,0.07126078571056323,54,30,83,10,0,1.4762786741258314
4277,2,1.1892345690703408,56,51,129,1,91,0.2720603027903504
3369,2,0.7359759175660106,37,74,100,1,309,-0.32779040881261995
3734,1,0.23695789104264572,44,80,26,47,0,1.8159531734672725
4291,3,1.547121049482368,25,80,17,27,146,1.5693278055943645
1456,3,-0.5515483921800841,21,57,123,25,75,-0.7668377670039507
4567,0,1.6612786482140642,89,59,10,10,0,1.3470939576209748
660,2,-0.9879483265721386,84,37,171,36,60,-1.881620565374531
4993,0,0.35496891082857657,52,70,3,46,0,1.3552244642541478
1800,2,-0.35935901710013957,37,54,102,8,175,-0.8960224835088072
4487,3,1.2956853256935683,90,88,82,62,105,1.1067923171294236
2027,3,-0.8405549712476699,28,63,42,29,86,-0.8129106379252631
1718,2,-1.0404511884360834,84,68,38,53,66,-1.0622461746758953
4996,3,2.3881301945690425,77,100,58,4,184,1.5521634027021107
3604,3,0.5351163451140384,83,75,152,49,225,1.0146465752867986
3235,3,1.1824910822254304,64,67,78,69,247,1.1790634872020707
1454,3,-1.0563465502848006,45,62,83,42,92,-0.5364734123973882
3946,2,0.19457025944606648,71,51,80,65,248,-0.005280312363432593
1545,3,-0.6994234251363322,48,56,54,34,117,-0.4551683460656603
2193,0,-0.6151298395749529,50,92,64,14,0,-0.3196599021794472
3936,3,2.754205194721318,69,56,92,53,75,0.8574567803787913
1062,2,-1.1232997411021246,75,50,107,1,99,-1.7280443289701561
2985,3,0.9329820689637481,68,82,82,8,194,0.49068059226010763
3854,0,2.1549982207878564,49,64,93,18,0,0.7589873111548097
725,2,-0.9706079318280835,28,76,152,5,61,-1.5654341963067002
1459,3,-1.016367306847118,64,79,36,67,73,-0.6259089853622889
3567,2,1.4021360823167957,55,39,121,22,225,-0.03960911814793993
1315,0,-0.7509629317367182,13,57,74,6,0,-1.0947682012085864
3620,0,-0.8863143462667042,71,66,81,27,0,0.47351618936785395
516,3,-1.2013315174503727,34,70,53,37,36,-1.6801646787970275
1743,1,-0.2948142144417121,72,90,72,35,0,0.09409254648645707
2705,2,-1.1849544779698762,79,80,155,36,127,-0.18866840642277444
3024,3,0.20757555550410786,22,37,90,61,38,-0.12814130148693254
1569,3,-1.1257081292610212,13,87,109,1,131,-0.5834496729446088
3944,2,-0.54046980664916,11,90,51,48,376,0.15823320992593132
3065,0,-0.7456644777871458,76,62,191,67,0,0.7770551036729715
1560,2,-0.5183126355873118,39,48,37,39,81,-1.1887207223030276
2827,0,0.5428231872225073,13,59,43,3,0,0.25308912064628053
3920,2,2.5249266419943663,57,43,86,26,254,0.31271283595621435
801,3,-1.1782109911249659,52,65,61,69,23,-1.5600138585512517
4776,3,2.403062201154201,54,36,67,55,77,0.8610703388824237
1106,0,-0.9812048397272283,22,63,165,3,0,-1.1354207343744505
3670,1,0.8448350623481344,56,79,177,56,0,1.841248082992699
1199,3,-0.4200503987043326,37,61,60,28,52,-0.718958116830822
1639,0,-0.31359964208110513,46,71,27,43,0,-0.8589835088465756
690,0,-0.8867960238984836,37,62,69,30,0,-0.8192343653066197
2800,0,0.15410933837660448,36,43,96,18,0,-0.15795315914189945
1480,2,-0.3063744776044155,39,57,30,5,122,-1.14987496838898
3475,2,1.1921246348610166,15,68,184,61,38,-0.40909547514434785
1684,3,-0.98698497130858,18,60,126,1,66,-0.6728852459095095
3827,1,0.6613158846402175,15,53,137,64,0,0.9152737164369089
3894,2,0.07222414097412184,38,33,139,14,127,-0.31423956442399864
627,2,-1.2013315174503727,79,38,6,41,48,-1.9864137619798692
2565,0,0.1661512791710872,75,99,87,68,0,0.3045823293230415
2316,2,0.39880157532049376,62,53,155,53,42,-0.7017937139385683
1069,3,-1.2013315174503727,79,94,74,31,30,-0.9267377307896821
2395,3,-0.871864017313325,14,46,19,59,178,0.14106880703367763
3233,2,-1.1459385897957521,29,66,119,66,138,-0.49130393110198384
4363,3,0.8135260162824793,21,79,64,37,420,2.292039506320835
4514,3,1.8298658193368227,17,74,154,50,11,0.515072112159626
3401,2,0.7143004241359415,67,49,143,66,329,-0.40277174776299124
2186,2,0.44648766086664543,58,88,163,14,188,-0.18595823754505017
3509,3,1.2292138125080236,73,88,69,15,135,0.46267551385695693
654,2,-1.2013315174503727,59,40,137,25,63,-1.9566019043249023
3037,0,-0.4850768789945394,48,84,43,8,0,0.6153483606354238
1909,0,-0.6965333593456563,49,94,146,58,0,-0.31152939554627435
4557,2,1.8510596351351123,40,87,89,56,244,0.7056873232262325
1284,0,-0.926293589704387,12,73,192,14,0,-0.8481428333356785
3675,3,0.8443533847163551,81,43,73,42,83,-0.08568198906925241
4841,3,0.8958928913167413,39,81,189,13,83,0.8782347417746773
3306,0,0.4156602924327696,38,63,32,19,0,0.196175574214071
1037,0,-0.9754247081458766,79,92,164,34,0,-0.7578038707448698
2341,2,-0.6705227672295736,65,56,112,46,167,-0.709020830945833
2955,2,0.5100691082615143,75,41,140,55,138,-0.6719818562836014
1024,0,-1.1261898068928005,72,67,101,64,0,-1.1869139430512115
3450,2,-1.0611633266025937,39,85,93,57,249,0.07150780583875488
4631,3,1.8876671351503398,62,94,87,72,166,1.1447346814175632
4615,3,0.5052523319437212,55,69,97,64,150,1.1917109419647838
2868,2,0.4281839108590317,18,50,36,5,241,-0.472332748957914
4347,3,1.6791007205898987,16,61,18,43,308,1.563004078213008
4995,3,1.2075383190779547,72,41,65,17,50,0.6722619070676333
3201,0,0.6728761478029209,56,55,29,46,0,0.226890821494946
1471,0,-0.605977964571146,53,65,159,33,0,-0.5346666331455721
1666,2,-0.613684806679615,58,45,160,69,98,-1.254668164994318
3274,3,0.8366465426078862,88,63,167,15,195,0.730982232751659
2482,3,0.09245460150885285,88,53,142,42,86,-0.6141649202254837
1353,3,-1.1623156292762487,71,68,197,15,23,-1.1200631107340129
4646,0,2.6626864446832488,68,93,99,65,0,1.8701565510217577
4236,3,0.7774001938990311,87,58,107,63,50,0.31903656333757097
4269,0,1.8370909838135123,84,60,79,56,0,1.2712092290446955
1074,2,-0.9055814515378767,84,92,84,43,76,-0.9682936535814543
3761,1,0.8963745689485206,22,72,97,70,0,1.5485498441984784
1648,3,-0.5592552342885531,39,48,103,34,15,-1.1887207223030276
2215,0,-0.3723643131581809,52,39,117,66,0,-1.1200631107340129
4354,0,0.8674739110417621,60,85,37,69,0,1.1664160324393573
2991,1,0.6536090425317486,17,89,135,20,0,1.3037312555773868
3160,1,1.3443347665032785,46,72,75,14,0,0.9477957429696001
3624,3,-0.36369411578615335,73,77,38,68,55,0.29645182268986875
3551,2,0.9122699307972378,48,69,59,41,214,-0.11910740522785165
504,3,-1.2013315174503727,17,63,187,59,10,-1.758759576251031
1376,3,-0.5717788527148151,71,30,108,50,133,-0.7559970914930536
1491,3,-0.5631086553427875,48,48,55,39,38,-1.3495240757146674
4642,0,1.6959594377021745,23,30,17,30,0,0.9532160807250486
4864,0,0.48983864772678326,61,54,122,37,0,1.3362532821100779
4965,3,0.5418598319589487,66,97,175,47,215,1.7165803146173828
1135,0,-1.1247447739974625,30,57,103,45,0,-0.894215704256991
2193,3,-0.34828043156921545,32,74,148,57,213,0.680392413700806
2182,0,-0.3511704973598913,13,53,183,4,0,-0.6484937260099911
619,3,-1.134860004264828,83,73,139,6,35,-1.5554969104217113
1330,3,-0.21196566177567083,52,31,5,15,67,-1.3395867898296783
4175,0,0.1102766738846873,20,52,158,45,0,1.0571058877044788
1869,3,-1.2013315174503727,28,91,97,60,96,-0.2040260300632119
1240,0,-1.1811010569156417,74,44,70,28,0,-1.1842037741734872
616,3,-1.021184083164911,11,61,126,32,12,-1.2754461263902042
3338,0,-0.07468753671856758,58,33,60,48,0,-0.10645995046513843
1650,3,-0.2399029644188708,78,60,117,19,69,-0.7216682857085462
2431,0,-0.8945028660069525,43,88,67,31,0,-0.1010396127096899
1512,2,-1.2013315174503727,13,100,184,60,107,-0.6746920251613256
2164,3,-0.5602185895521117,48,30,60,44,32,-0.7948428454071014
1581,0,-0.619946615892746,58,98,115,23,0,-0.5653818804264471
1012,3,-0.8699373067862077,12,43,111,27,71,-1.3585579719737482
3349,0,0.2494815094689078,35,52,16,1,0,-0.007087091615248768
1059,3,-0.5173492803237532,50,100,156,22,19,-0.605131023966403
4172,0,-0.015441188009712501,74,45,66,8,0,0.6072178540022509
3843,0,1.2971303585889062,25,38,58,69,0,0.37052977201433196
4570,1,2.4300361485338424,67,60,2,24,0,2.171888686075059
1970,0,-0.7943139185968562,44,90,109,33,0,-0.6611411807727043
1080,0,-0.72880576067487,25,74,102,12,0,-1.35765458234784
2794,0,-0.6700410895977943,42,36,154,4,0,-0.39464124112981847
3647,1,0.20661220024054924,40,86,0,64,0,1.3949736077941035
4749,2,1.348188187557513,31,93,78,60,13,0.8782347417746773
2179,3,-0.9031730633789802,70,31,77,9,48,-1.3693986474846451
4006,2,0.23454950288374918,73,35,131,42,122,-0.12994808073874872
3244,0,0.29235081869726637,79,90,3,53,0,0.7427262978884641
3856,2,1.0375061150598583,44,63,123,60,353,-0.050449793658836985
4545,2,2.3052816419030013,48,46,32,14,43,0.20701624972496804
1743,3,-0.8954662212705111,12,55,10,51,129,-0.6819191421685904
3618,2,0.03224489753643915,22,49,184,65,290,-0.08748876832106858
2641,3,0.25767002920915605,23,70,153,27,189,0.19978913271770335
3559,3,0.1391773317914459,50,87,87,22,280,1.0824007972299052
3459,3,0.6695044043804658,17,83,110,22,277,1.266692280915155
2765,2,-0.19896036571762946,28,58,153,64,138,-0.43168021579205007
2979,3,-0.7172454975121666,23,77,181,24,151,0.38137044752522903
2135,3,-0.2967409249688293,84,51,154,30,114,-0.5256327368864911
2257,2,-0.01688622090505043,59,100,101,40,40,-0.2988819407835611
4952,3,1.4035811152121336,70,34,181,23,225,1.3877464907868389
2570,3,-0.33768352367007065,45,81,1,10,62,-0.49853104810924853
3349,3,-0.40849013554162916,76,30,8,33,253,-0.00618370198934068
3751,3,-0.263505168376057,86,74,71,72,115,0.6307059842758612
4230,0,0.17337644364777688,89,69,103,5,0,0.8375822086088134
2989,3,-0.3661025039450499,54,93,115,27,180,0.41479586368382826
2131,1,0.5717238451292659,83,40,63,62,0,0.08867220873100855
3316,2,0.32173315423580423,81,81,114,25,155,0.16907388543682836
1515,3,-0.9238852015454905,16,36,64,66,76,-0.7758716632630315
1848,3,-0.6512556619584012,31,80,20,20,68,-0.544603919030561
3587,0,-0.10262483936176754,18,50,153,43,0,-0.13627180812010534
3339,0,0.8371282202396655,69,68,142,67,0,0.7336924016293832
835,3,-1.2013315174503727,51,73,170,58,32,-1.368495257858737
1395,3,-1.2013315174503727,68,86,166,41,95,-0.6954699865572117
4046,2,1.415141378374837,49,70,15,64,311,0.4274433184465415
1351,3,-0.8535602673057112,38,68,34,46,58,-0.5680920493041713
2187,3,-0.5322812869089117,64,49,22,60,160,0.03627561042833945
2431,2,-1.144011879268635,73,51,139,15,149,-0.8996360420124395
4246,0,0.13484223310543209,51,58,183,27,0,1.0345211470567766
2927,3,-0.6575174711715323,38,75,51,58,226,0.44641450059061133
2068,0,-0.6854547738147322,30,97,18,24,0,-0.55454120491555
4500,3,1.73401197061274,72,32,97,35,97,0.7535669733993612
3238,2,0.5567918385441073,72,34,189,23,68,-0.46329885269883314
3998,0,1.096270786136934,47,85,135,8,0,0.7644076489102583
4413,2,1.8409444048677468,88,96,114,16,318,0.6198653087649642
1566,1,-1.2013315174503727,75,61,86,70,0,-0.35127853908623025
4880,1,2.707482464438725,21,70,138,61,0,2.640747901921357
2944,1,-0.14790253674902265,42,58,122,58,0,0.7291754534998428
4607,0,0.9864482860912515,88,95,42,29,0,1.3841329322832066
3873,3,0.2817539107981215,10,40,97,63,333,1.2305566958788317
4469,0,-0.4301656289716981,77,88,68,26,0,1.2043583967274971
3046,0,1.2995387467478028,37,33,164,9,0,0.14197219665958571
1253,2,-1.2013315174503727,71,83,152,19,110,-0.9999122904882373
2582,3,-0.5838207935092978,87,96,151,71,200,0.8800415210264935
3274,1,-0.28807072759680175,68,31,105,25,0,0.39130773341021796
3396,2,-0.7321775040973252,58,77,33,24,38,-0.43981072242522284
4685,1,0.38772298978956965,54,97,81,39,0,2.585641134740963
1275,2,-1.2013315174503727,85,73,139,47,12,-1.1968512289362006
2125,3,-0.4104168460687464,15,91,169,61,104,-0.2510022906104325
3569,3,1.5890270034471679,29,48,102,29,98,0.4166026429356444
917,3,-0.8598220765188422,25,73,78,20,46,-0.9014428212642557
614,3,-0.7249523396206355,21,60,110,5,32,-1.4010172843914284
1116,0,-0.5486583263894083,61,91,11,36,0,-0.657527622269072
4474,2,2.8389804579144764,29,44,156,62,256,0.34704164174072166
3767,2,-0.459547964510236,67,58,147,50,95,-0.2591327972436053
1325,0,-1.2013315174503727,54,96,78,20,0,-0.636749660873186
2016,3,0.3048744371235284,11,76,130,11,124,-0.21486670557410897
3646,3,-0.74277441199647,43,36,79,20,86,0.1356484692782291
